card,card_type,img_url,magic_type,sign
The Arrow,Sakura Card,https://vignette.wikia.nocookie.net/ccs/images/a/a9/SakuraArrow.jpg,Western Magic,Sun
The Wood,Sakura Card,https://vignette.wikia.nocookie.net/ccs/images/3/3b/SakuraWood.jpg,Eastern Magic,Moon
The Windy,Sakura Card,https://vignette.wikia.nocookie.net/ccs/images/8/8a/SakuraWindy.jpg,Eastern Magic,Moon
The Wave,Sakura Card,https://vignette.wikia.nocookie.net/ccs/images/9/92/SakuraWave.jpg,Eastern Magic,Moon
The Watery,Sakura Card,https://vignette.wikia.nocookie.net/ccs/images/1/1c/SakuraWatery.jpg,Eastern Magic,Moon
The Voice,Sakura Card,https://vignette.wikia.nocookie.net/ccs/images/a/a1/SakuraVoice.jpg,Eastern Magic,Moon
The Twin,Sakura Card,https://vignette.wikia.nocookie.net/ccs/images/e/e9/SakuraTwin.jpg,Western Magic,Sun
The Time,Sakura Card,https://vignette.wikia.nocookie.net/ccs/images/f/f1/SakuraTime.jpg,Eastern Magic,Moon
The Thunder,Sakura Card,https://vignette.wikia.nocookie.net/ccs/images/c/c5/SakuraThunder.jpg,Western Magic,Sun
The Through,Sakura Card,https://vignette.wikia.nocookie.net/ccs/images/5/5a/SakuraThrough.jpg,Western Magic,Sun
The Sword,Sakura Card,https://vignette.wikia.nocookie.net/ccs/images/a/ab/SakuraSword.jpg,Western Magic,Sun
The Sweet,Sakura Card,https://vignette.wikia.nocookie.net/ccs/images/6/68/SakuraSweet.jpg,Western Magic,Sun
The Storm,Sakura Card,https://vignette.wikia.nocookie.net/ccs/images/6/65/SakuraStorm.jpg,Eastern Magic,Moon
The Song,Sakura Card,https://vignette.wikia.nocookie.net/ccs/images/4/4c/SakuraSong.jpg,Eastern Magic,Moon
The Snow,Sakura Card,https://vignette.wikia.nocookie.net/ccs/images/7/7a/SakuraSnow.jpg,Eastern Magic,Moon
The Sleep,Sakura Card,https://vignette.wikia.nocookie.net/ccs/images/f/fa/SakuraSleep.jpg,Eastern Magic,Moon
The Silent,Sakura Card,https://vignette.wikia.nocookie.net/ccs/images/c/c6/SakuraSilent.jpg,Eastern Magic,Moon
The Shot,Sakura Card,https://vignette.wikia.nocookie.net/ccs/images/8/84/SakuraShot.jpg,Western Magic,Sun
The Shield,Sakura Card,https://vignette.wikia.nocookie.net/ccs/images/1/1b/SakuraShield.jpg,Western Magic,Sun
The Shadow,Sakura Card,https://vignette.wikia.nocookie.net/ccs/images/f/f5/SakuraShadow.jpg,Western Magic,Sun
The Sand,Sakura Card,https://vignette.wikia.nocookie.net/ccs/images/0/03/SakuraSand.jpg,Western Magic,Sun
The Return,Sakura Card,https://vignette.wikia.nocookie.net/ccs/images/c/c8/SakuraReturn.jpg,Western Magic,Sun
The Rain,Sakura Card,https://vignette.wikia.nocookie.net/ccs/images/3/39/SakuraRain.jpg,Eastern Magic,Moon
The Power,Sakura Card,https://vignette.wikia.nocookie.net/ccs/images/6/65/SakuraPower.jpg,Western Magic,Sun
The Nothing,Sakura Card,https://vignette.wikia.nocookie.net/ccs/images/a/af/SakuraNothing.jpg,Unknown,Star
The Nameless Card,Sakura Card,,N/A,
The Move,Sakura Card,https://vignette.wikia.nocookie.net/ccs/images/e/e3/SakuraMove.jpg,Eastern Magic,Moon
The Mist,Sakura Card,https://vignette.wikia.nocookie.net/ccs/images/a/ab/SakuraMist.jpg,Eastern Magic,Moon
The Mirror,Sakura Card,https://vignette.wikia.nocookie.net/ccs/images/6/69/SakuraMirror.jpg,Western Magic,Sun
The Maze,Sakura Card,https://vignette.wikia.nocookie.net/ccs/images/9/99/SakuraMaze.jpg,Western magic,Sun
The Loop,Sakura Card,https://vignette.wikia.nocookie.net/ccs/images/9/9f/SakuraLoop.jpg,Western Magic,Sun
The Lock,Sakura Card,https://vignette.wikia.nocookie.net/ccs/images/0/08/SakuraLock.jpg,Western Magic,Sun
The Little,Sakura Card,https://vignette.wikia.nocookie.net/ccs/images/d/db/SakuraLittle.jpg,Western Magic,Sun
The Light,Sakura Card,https://vignette.wikia.nocookie.net/ccs/images/a/ad/SakuraLight.jpg,Western Magic,Sun
The Libra,Sakura Card,https://vignette.wikia.nocookie.net/ccs/images/6/6f/SakuraLibra.jpg,Western Magic,Sun
The Jump,Sakura Card,https://vignette.wikia.nocookie.net/ccs/images/5/58/SakuraJump.jpg,Eastern Magic,Moon
The Illusion,Sakura Card,https://vignette.wikia.nocookie.net/ccs/images/2/25/SakuraIllusion.jpg,Eastern Magic,Moon
The Hope,Sakura Card,,,
The Glow,Sakura Card,https://vignette.wikia.nocookie.net/ccs/images/8/88/SakuraGlow.jpg,Western Magic,Sun
The Freeze,Sakura Card,https://vignette.wikia.nocookie.net/ccs/images/a/a8/SakuraFreeze.jpg,Eastern Magic,Moon
The Fly,Sakura Card,https://vignette.wikia.nocookie.net/ccs/images/5/51/SakuraFly.jpg,Eastern Magic,Moon
The Flower,Sakura Card,https://vignette.wikia.nocookie.net/ccs/images/6/6f/SakuraFlower.jpg,Western Magic,Sun
The Float,Sakura Card,https://vignette.wikia.nocookie.net/ccs/images/6/61/SakuraFloat.jpg,Eastern Magic,Moon
The Firey,Sakura Card,https://vignette.wikia.nocookie.net/ccs/images/9/97/SakuraFirey.jpg,N/A,Sun
The Fight,Sakura Card,https://vignette.wikia.nocookie.net/ccs/images/4/46/SakuraFight.jpg,Western Magic,Sun
The Erase,Sakura Card,https://vignette.wikia.nocookie.net/ccs/images/d/de/SakuraErase.jpg,Eastern Magic,Moon
The Earthy,Sakura Card,https://vignette.wikia.nocookie.net/ccs/images/9/94/SakuraEarthy.jpg,Western Magic,Sun
The Dream,Sakura Card,https://vignette.wikia.nocookie.net/ccs/images/f/f5/SakuraDream.jpg,Eastern Magic,Moon
The Dash,Sakura Card,https://vignette.wikia.nocookie.net/ccs/images/0/00/SakuraDash.jpg,Eastern Magic,Moon
The Dark,Sakura Card,https://vignette.wikia.nocookie.net/ccs/images/a/aa/SakuraDark.jpg,Eastern Magic,Moon
The Create,Sakura Card,https://vignette.wikia.nocookie.net/ccs/images/7/75/SakuraCreate.jpg,Western Magic,Sun
The Cloud,Sakura Card,https://vignette.wikia.nocookie.net/ccs/images/e/ef/SakuraCloud.jpg,Eastern Magic,Moon
The Change,Sakura Card,https://vignette.wikia.nocookie.net/ccs/images/2/21/SakuraChange.jpg,Eastern Magic,Moon
The Bubbles,Sakura Card,https://vignette.wikia.nocookie.net/ccs/images/0/02/SakuraBubbles.jpg,Eastern Magic,Moon
